sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
51,74,1,571.22,251.58,523.84,1.5
74,41,22,723.1,195.51,699.32,1.29
72,61,22,750.52,230.31,721.16,1.31
52,64,1,822.43,170.65,804.27,1.24
73,51,22,384.9,216.68,341.24,1.61
84,30,22,443.84,169.92,420.97,1.35
80,70,22,406.31,294.28,323.27,1.94
82,50,22,568.25,196.46,537.38,1.39
75,31,22,950.4,193.04,931.81,1.22
26,45,9,1149.4,263.48,1120.35,1.25
46,128,2,386.53,217.11,352.29,1.48
48,108,2,880.75,222.47,852.66,1.29
141,136,17,1022.02,366.47,955.45,1.46
81,60,22,498.88,141.18,481.69,1.29
49,28,5,820.43,896.69,568.78,2.23
70,81,22,817.7,213.92,789.69,1.3
138,47,16,239.04,246.64,142.27,3.28
136,67,16,576.35,511.28,453.42,1.85
67,96,2,501.86,134.0,483.49,1.32
90,99,5,343.71,280.47,261.58,2.02
65,128,19,113.4,103.88,92.06,1.76
64,138,19,632.43,240.69,594.39,1.4
47,9,1,484.77,92.96,478.12,1.17
78,68,22,625.08,257.67,555.17,1.73
79,58,22,964.82,324.32,913.41,1.39
60,127,16,216.23,198.33,137.97,2.94
38,113,12,487.45,132.16,471.27,1.29
41,46,17,293.84,175.98,255.07,1.72
44,16,17,1118.49,389.23,1071.72,1.31
43,26,17,964.52,354.81,910.11,1.39
46,58,5,724.0,235.21,691.24,1.34
16,61,12,758.01,154.35,744.45,1.2
153,47,19,626.67,203.4,600.78,1.32
42,36,17,633.78,285.4,571.58,1.59
72,44,3,333.33,153.86,301.88,1.56
73,34,3,575.25,205.93,542.52,1.4
53,132,17,1520.85,400.59,1471.39,1.29
47,80,0,157.3,180.52,99.16,2.44
48,70,0,596.17,231.08,563.24,1.38
11,23,14,1171.53,222.47,1152.3,1.2
88,92,18,87.22,54.02,67.1,2.24
136,46,9,974.12,269.59,936.56,1.33
138,26,9,923.04,932.53,781.26,1.56
134,66,9,645.0,154.94,626.45,1.27
80,23,21,880.04,313.94,833.61,1.38
78,143,19,574.0,210.66,538.45,1.43
34,58,22,438.28,217.82,394.07,1.57
36,38,22,120.09,106.26,91.19,2.21
35,48,22,899.13,231.43,870.21,1.29
43,24,19,344.33,171.02,314.59,1.51
41,44,19,184.77,140.84,150.51,1.94
40,54,19,1006.85,195.52,988.56,1.21
79,138,3,268.9,70.01,260.86,1.27
42,34,19,919.0,203.9,895.59,1.26
84,79,14,361.44,280.26,286.94,1.96
82,136,21,559.0,322.85,494.4,1.6
85,69,14,960.44,584.86,803.83,1.81
11,41,13,881.55,131.97,872.53,1.15
29,87,18,784.78,260.36,744.27,1.38
33,68,22,379.14,110.74,360.91,1.38
111,27,21,833.1,517.95,719.03,1.67
40,47,16,1070.2,315.61,1034.22,1.29
42,27,16,730.83,253.98,689.34,1.41
25,69,10,855.63,194.72,835.57,1.24
55,53,22,155.96,141.38,102.95,2.64
58,23,22,410.99,455.37,316.1,1.99
26,59,10,628.58,295.51,559.08,1.72
63,167,18,1068.0,101.48,1063.47,1.1
53,73,22,569.45,208.76,538.4,1.38
23,112,17,1135.78,250.0,1107.85,1.25
21,132,17,869.63,389.88,791.72,1.55
138,49,0,338.92,96.29,326.65,1.31
136,69,0,412.28,259.05,343.33,1.81
24,79,10,958.13,235.08,929.49,1.28
52,83,22,389.36,202.87,343.33,1.65
22,136,12,1209.82,248.49,1186.64,1.21
136,164,16,627.13,393.78,533.4,1.73
54,63,22,1025.55,172.83,1011.06,1.18
72,132,17,692.91,299.63,641.21,1.47
145,51,21,584.81,291.79,520.95,1.61
16,138,2,609.55,137.91,595.42,1.24
27,49,10,1037.64,285.96,1000.64,1.31
84,81,10,259.68,198.92,208.87,2.05
85,71,10,456.95,207.87,413.09,1.56
34,105,8,836.09,312.13,771.13,1.53
30,145,8,549.0,212.0,522.67,1.33
71,132,5,377.69,192.53,336.89,1.62
75,21,8,880.95,278.27,845.73,1.32
70,71,8,264.18,215.8,201.15,2.15
73,41,8,441.1,212.81,400.47,1.6
67,96,9,522.5,109.35,512.24,1.21
71,61,8,955.78,353.8,896.96,1.42
164,132,17,1588.8,709.0,1449.02,1.53
23,63,19,705.54,230.13,673.14,1.36
22,73,19,802.38,316.2,747.38,1.47
74,31,8,1237.74,305.06,1203.91,1.26
24,53,19,884.33,275.52,853.74,1.28
27,164,23,1039.71,147.48,1029.74,1.15
128,34,7,495.23,144.72,478.74,1.28
27,23,19,204.91,161.95,151.41,2.42
72,51,8,956.17,284.66,915.97,1.34
165,25,8,1458.67,535.0,1363.5,1.45
25,43,19,629.46,240.67,589.24,1.44
136,58,10,769.23,141.64,758.08,1.18
134,78,10,561.31,147.66,539.78,1.34
26,33,19,864.18,313.34,815.73,1.39
16,46,23,917.37,219.03,896.61,1.23
81,54,10,127.04,134.37,93.44,2.08
84,24,10,1156.91,248.15,1133.13,1.22
112,113,20,159.0,259.19,96.87,2.3
21,83,19,843.77,244.52,813.78,1.3
69,75,20,636.68,231.83,597.72,1.42
82,44,10,1595.5,1345.16,1261.82,1.84
32,78,22,792.43,136.33,781.89,1.17
